"title","url"
"Fusion tech finds geothermal energy application","https://spectrum.ieee.org/geothermal-energy-gyrotron-quaise"
"How many photons are received per bit transmitted from Voyager 1?","https://physics.stackexchange.com/questions/816698/how-many-photons-are-received-per-bit-transmitted-from-voyager-1"
"Oldest largest German Minecraft server shut down and open sourced everything","https://github.com/muxcraftserver/MuxSystem"
"Libadwaita: Splitting GTK and Design Language","https://tesk.page/2024/06/03/libadwaita-splitting-gtk-and-design-language/"
"Why YC went to DC","https://www.ycombinator.com/blog/why-yc-went-to-dc/"
"Ask HN: Who is hiring? (June 2024)","https://news.ycombinator.com/item?id=40563283"
"The Moral Economy of the Shire","https://nathangoldwag.wordpress.com/2024/05/31/the-moral-economy-of-the-shire/"
"Go east from Seattle","https://finmoorhouse.com/writing/go-east/"
"If English was written like Chinese (1999)","https://zompist.com/yingzi/yingzi.htm"
"Mamba-2 â€“ State Space Duality","https://tridao.me/blog/2024/mamba2-part1-model/"